game_id,date,away_abbrev,home_abbrev,game_number,away_score,home_score,winner_abbrev,total_runs,status,fetched_at
2026-07-22_ATH_ARI_G1,2026-07-22,ATH,ARI,1,5,15,ARI,20,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_BAL_BOS_G1,2026-07-22,BAL,BOS,1,3,6,BOS,9,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_BAL_BOS_G2,2026-07-22,BAL,BOS,2,5,1,BAL,6,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_CHW_TEX_G1,2026-07-22,CHW,TEX,1,4,2,CHW,6,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_CIN_SEA_G1,2026-07-22,CIN,SEA,1,5,3,CIN,8,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_DET_CHC_G1,2026-07-22,DET,CHC,1,5,1,DET,6,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_LAD_PHI_G1,2026-07-22,LAD,PHI,1,9,5,LAD,14,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_MIA_HOU_G1,2026-07-22,MIA,HOU,1,2,5,HOU,7,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_MIN_CLE_G1,2026-07-22,MIN,CLE,1,10,6,MIN,16,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_NYM_MIL_G1,2026-07-22,NYM,MIL,1,3,4,MIL,7,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_PIT_NYY_G1,2026-07-22,PIT,NYY,1,5,3,PIT,8,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_PIT_NYY_G2,2026-07-22,PIT,NYY,2,0,2,NYY,2,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_SDP_ATL_G1,2026-07-22,SDP,ATL,1,6,7,ATL,13,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_SFG_KCR_G1,2026-07-22,SFG,KCR,1,4,5,KCR,9,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_STL_LAA_G1,2026-07-22,STL,LAA,1,1,0,STL,1,Final,2026-07-22T19:57:51.475299-04:00
2026-07-22_TBR_TOR_G1,2026-07-22,TBR,TOR,1,4,2,TBR,6,Final,2026-07-23T01:16:10.040138-04:00
2026-07-22_WSN_COL_G1,2026-07-22,WSN,COL,1,8,0,WSN,8,Final,2026-07-22T19:57:51.475299-04:00
2026-07-23_ARI_STL_G1,2026-07-23,ARI,STL,1,10,6,ARI,16,Final,2026-07-23T20:17:59.383567-04:00
2026-07-23_KCR_DET_G1,2026-07-23,KCR,DET,1,3,4,DET,7,Final,2026-07-24T15:04:35.922266-04:00
2026-07-23_MIN_CLE_G1,2026-07-23,MIN,CLE,1,3,1,MIN,4,Final,2026-07-23T20:17:59.383567-04:00
2026-07-23_SDP_ATL_G1,2026-07-23,SDP,ATL,1,5,6,ATL,11,Final,2026-07-23T20:17:59.383567-04:00
2026-07-23_TBR_TOR_G1,2026-07-23,TBR,TOR,1,1,3,TOR,4,Final,2026-07-23T20:17:59.383567-04:00
2026-07-24_ARI_WSN_G1,2026-07-24,ARI,WSN,1,3,2,ARI,5,Final,2026-07-25T13:37:34.388571-04:00
